epoch,Neuron count(80),Neuron count(10)
1,23.542,21.0949
2,12.4113,11.5902
3,7.96233,7.83596
4,5.64251,5.86671
5,4.2565,4.66591
6,3.35378,3.8618
7,2.729,3.28775
8,2.27645,2.85846
9,1.93676,2.52589
10,1.67437,2.261
11,1.46687,2.04526
12,1.29949,1.86629
13,1.1622,1.71553
14,1.04794,1.58686
15,0.951649,1.4758
16,0.869608,1.379
17,0.799024,1.2939
18,0.73777,1.21853
19,0.684201,1.15132
20,0.637024,1.09103
21,0.595216,1.03664
22,0.557953,0.987343
23,0.524566,0.942457
24,0.49451,0.90142
25,0.467334,0.863762
26,0.442661,0.829085
27,0.420178,0.797051
28,0.399619,0.767371
29,0.380758,0.739796
30,0.363403,0.714113
31,0.347389,0.690134
32,0.332573,0.667696
33,0.318832,0.646656
34,0.306059,0.626888
35,0.294159,0.608281
36,0.28305,0.590737
37,0.272658,0.574167
38,0.262921,0.558493
39,0.25378,0.543644
40,0.245185,0.529558
41,0.237091,0.516178
42,0.229456,0.503451
43,0.222246,0.491332
44,0.215426,0.479778
45,0.208968,0.468751
46,0.202845,0.458216
47,0.197031,0.448141
48,0.191507,0.438496
49,0.186251,0.429255
50,0.181245,0.420393
51,0.176472,0.411887
52,0.171918,0.403716
53,0.167568,0.395861
54,0.16341,0.388304
55,0.159431,0.381029
56,0.155621,0.374019
57,0.15197,0.367262
58,0.148468,0.360743
59,0.145107,0.35445
60,0.141878,0.348372
61,0.138776,0.342498
62,0.135791,0.336818
63,0.132919,0.331322
64,0.130154,0.326002
65,0.127489,0.320849
66,0.124919,0.315856
67,0.122441,0.311015
68,0.120048,0.30632
69,0.117738,0.301764
70,0.115505,0.297341
71,0.113347,0.293045
72,0.11126,0.288871
73,0.10924,0.284814
74,0.107285,0.280869
75,0.105391,0.277031
76,0.103556,0.273297
77,0.101777,0.269661
78,0.100052,0.266121
79,0.0983784,0.262672
80,0.0967541,0.259311
81,0.0951771,0.256035
82,0.0936454,0.252841
83,0.0921571,0.249724
84,0.0907105,0.246684
85,0.089304,0.243717
86,0.087936,0.24082
87,0.086605,0.23799
88,0.0853095,0.235227
89,0.0840483,0.232527
90,0.08282,0.229887
91,0.0816234,0.227308
92,0.0804574,0.224785
93,0.0793208,0.222317
94,0.0782127,0.219903
95,0.0771319,0.217541
96,0.0760775,0.215229
97,0.0750486,0.212965
98,0.0740444,0.210749
99,0.073064,0.208578
100,0.0721065,0.206451
101,0.0711713,0.204367
102,0.0702576,0.202325
103,0.0693646,0.200323
104,0.0684918,0.198361
105,0.0676384,0.196436
106,0.0668039,0.194548
107,0.0659877,0.192697
108,0.0651891,0.19088
109,0.0644077,0.189097
110,0.0636429,0.187347
111,0.0628943,0.185629
112,0.0621612,0.183942
113,0.0614434,0.182286
114,0.0607402,0.180659
115,0.0600514,0.179061
116,0.0593764,0.177491
117,0.0587149,0.175949
118,0.0580665,0.174432
119,0.0574309,0.172942
120,0.0568076,0.171477
121,0.0561963,0.170037
122,0.0555967,0.168621
123,0.0550085,0.167228
124,0.0544314,0.165857
125,0.0538651,0.16451
126,0.0533092,0.163184
127,0.0527635,0.161879
128,0.0522278,0.160594
129,0.0517018,0.15933
130,0.0511852,0.158086
131,0.0506778,0.156861
132,0.0501793,0.155655
133,0.0496896,0.154468
134,0.0492084,0.153298
135,0.0487355,0.152146
136,0.0482707,0.151011
137,0.0478138,0.149893
138,0.0473646,0.148791
139,0.0469229,0.147706
140,0.0464886,0.146636
141,0.0460614,0.145582
142,0.0456412,0.144542
143,0.0452279,0.143518
144,0.0448212,0.142508
145,0.0444211,0.141512
146,0.0440273,0.14053
147,0.0436398,0.139561
148,0.0432584,0.138606
149,0.0428829,0.137663
150,0.0425132,0.136734
151,0.0421492,0.135817
152,0.0417908,0.134912
153,0.0414378,0.134019
154,0.0410901,0.133138
155,0.0407477,0.132269
156,0.0404103,0.13141
157,0.0400779,0.130563
158,0.0397504,0.129727
159,0.0394277,0.128901
160,0.0391097,0.128086
161,0.0387963,0.127281
162,0.0384873,0.126486
163,0.0381828,0.125701
164,0.0378825,0.124926
165,0.0375865,0.12416
166,0.0372946,0.123404
167,0.0370067,0.122657
168,0.0367229,0.121919
169,0.0364429,0.121189
170,0.0361667,0.120469
171,0.0358943,0.119756
172,0.0356255,0.119053
173,0.0353604,0.118357
174,0.0350988,0.11767
175,0.0348406,0.11699
176,0.0345859,0.116319
177,0.0343344,0.115655
178,0.0340863,0.114999
179,0.0338413,0.11435
180,0.0335995,0.113708
181,0.0333608,0.113073
182,0.0331251,0.112446
183,0.0328924,0.111826
184,0.0326627,0.111212
185,0.0324358,0.110605
186,0.0322117,0.110005
187,0.0319904,0.109411
188,0.0317718,0.108823
189,0.0315559,0.108242
190,0.0313427,0.107667
191,0.031132,0.107098
192,0.0309238,0.106536
193,0.0307181,0.105979
194,0.0305149,0.105428
195,0.0303141,0.104882
196,0.0301157,0.104342
197,0.0299196,0.103808
198,0.0297257,0.103279
199,0.0295342,0.102756
200,0.0293448,0.102238
